title,date,time,address,description,url,lat,lon
FOREST WINTERLIGHTS 2025,07.11.2025,14:00 Uhr,DARK MATTER,DARK MATTER eröffnet die Wintersaison und feiert in der monumentalen TRANSFORMATOR-Halle eine funkelnde Premiere: Eine Eisbahn verläuft direkt durch die Kunst und schafft eine ungewöhnliche Möglichkeit des Kunstgenusses.,https://www.visitberlin.de/de/event/forest-winterlights-2025,34.5646696,-117.1222857
FRIDA & FRIDA Young Show,16.01.2026,16:00 Uhr,Friedrichstadt-Palast,"Seit November 2025 präsentiert der Friedrichstadt-Palast Berlin seine neue Young Show ""Frida & Frida"" – eine fesselnde Geschichte über Selbstvertrauen, Vorstellungskraft und die Überwindung schwieriger Situationen.",https://www.visitberlin.de/de/event/frida-frida-young-show,52.5239216,13.3888786
Cirque Du Soleil ALIZÉ,16.01.2026,16:00 Uhr,Theater am Potsdamer Platz,Die erste europäische Residenz des Cirque du Soleil wurde exklusiv für das Theater am Potsdamer Platz in Berlin geschaffen. Sie lädt zu einer fantastischen Reise ins Unsichtbare ein. Als spektakuläres Showereignis völlig neuer Art ist Cirque du Soleils ALIZÉ…,https://www.visitberlin.de/de/event/cirque-du-soleil-alize,52.5072208,13.3721193
Der Neurosen-Kavalier,17.12.2025,18:30 Uhr,Schlosspark Theater,Auf der Flucht vor der Polizei ist Kaufhausdieb Felix Bollmann (Daniel Morgenroth) jedes Versteck recht. So landet er in der Praxis eines renommierten Psychiaters und wird prompt für dessen Urlaubsvertretung gehalten.,https://www.visitberlin.de/de/event/der-neurosen-kavalier,52.4548978,13.3175925
Die Zauberflöte,17.12.2025,19:00 Uhr,Staatsoper Unter den Linden,Sie ist die mit Abstand berühmteste Oper Wolfgang Amadeus Mozarts und einer der Klassiker im Repertoire der Staatsoper: August Everdings Inszenierung der Zauberflöte. Einzigartig macht sie die Rekonstruktion der 1816 für die damalige Hofoper Unter den Linden…,https://www.visitberlin.de/de/event/die-zauberfloete-0,52.516703,13.3947383
PALAZZO Berlin - Die Dinner Show im Spiegelpalast | Unikate,08.11.2025,19:00 Uhr,Spiegelpalast Berlin,"Erleben Sie PALAZZO Berlin, die einzigartige Dinner-Show von Kolja Kleeberg & Hans-Peter Wodarz im Spiegelpalast am Bahnhof Zoo, die Spitzengastronomie, atemberaubende Akrobatik, Comedy und Live-Musik auf höchstem Niveau vereint.",https://www.visitberlin.de/de/event/palazzo-berlin-die-dinner-show-im-spiegelpalast-unikate,52.5100608,13.3327722
Kinky Boots - The Musical,17.12.2025,19:30 Uhr,Admiralspalast,Das preisgekrönte Broadway- und West End-Erfolgsmusical KINKY BOOTS erstrahlt in einer brandneuen Produktion und kommt live nach Deutschland!,https://www.visitberlin.de/de/event/kinky-boots-musical,52.5207714,13.3889021
Romeo & Julia - Liebe Ist Alles,17.04.2025,19:30 Uhr,Stage Theater des Westens,"Moderne Pop-Hits treffen auf klassische Arien, ein zauberhaftes Bühnenbild und die ganz großen Gefühle: Romeo & Julia – Liebe ist alles ist zurück.",https://www.visitberlin.de/de/event/romeo-julia-liebe-ist-alles,52.5059047,13.3290059
Ass-Dur - Süßer die Brüder nie klingen,17.12.2025,20:00 Uhr,Tipi am Kanzleramt,"Wenn in Berlin die ersten Lichterketten blinken, die Gänse noch ahnungslos durchs Regierungsviertel watscheln und es überall langsam nach Glühwein und Spekulatius duftet – dann ist es soweit: Ass-Dur feiert Weihnachten. Und zwar so aufregend wie noch nie!",https://www.visitberlin.de/de/event/ass-dur-suesser-die-brueder-nie-klingen,52.5183931,13.3671639
Die Ades Zabel Company: Wenn Ediths Glocken läuten Vol. 22,17.12.2025,20:00 Uhr,BKA Theater,"Edith Schröder, die pralle Prekariats-Prinzessin, die Neuköllner Bezirksbürgermeisterin der Herzen und klebrig-süße Kirsche auf der Chantré-Torte, sorgt mit ihrer üppig ausgestatteten Weihnachtsshow – nunmehr sage und schreibe zum 22. Mal(!) - Jahr für Jahr…",https://www.visitberlin.de/de/event/die-ades-zabel-company-wenn-ediths-glocken-laeuten-vol-22,52.4936405,13.3876998
FLYING LIGHTS,17.12.2025,20:00 Uhr,Wintergarten Varieté,Die weltweit gefeierten Tänzer der Flying Steps Company bringen ab Ende August ihre neue Show – wieder eine Kooperation mit dem Wintergarten Varieté Berlin – auf die Bühne. Bis Februar 2026 wird sie in Europas renommiertestem Varietétheater an der Potsdamer…,https://www.visitberlin.de/de/event/flying-lights,52.5021802,13.364582
Keimzeit,17.12.2025,20:00 Uhr,Kesselhaus,"Mitte der 90er waren Bands wie die Talking Heads, Nirvana oder der legendäre Wu-Tang Clan angesagt. Punk und Grunge regierten, die Hiphop- und Technowelle nahm richtig Anlauf und experimentierfreudige Bands wie Portishead, Faithless oder The Prodigy gingen…",https://www.visitberlin.de/de/event/keimzeit,51.4956182,7.0123728
